track_number,timestamp,timestamp_seconds,artist,title,label,video_title,video_url,video_id,upload_date,category
6,17:00,1020,N-kore,Steroid,Neurobiotic,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
7,20:28,1228,Render & Kabayun & Radikal Moodz & Daksinamurti,Perpetual,Timecode/Sangoma,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
8,24:27,1467,Jumpstreet & Art Materials,Rave Psalm,Looney Moon Records,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
9,28:46,1726,Outside The Universe,Alternate Minds,Sacred Technology,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
10,32:18,1938,AFe & Synapsiz,Breach the Universe,DoubSquare Records,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
11,36:14,2174,Mandala,See The Wonder,Nano Records,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
12,41:08,2468,Outsiders & NoFace,Fuse Our Mind,Shamanic Tales,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
13,45:30,2730,"Liftshift, & Alienatic",I Am So High,Digital Om,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
14,49:29,2969,Lucid Spirit,The Shamans Way,Psytrance Institute,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
15,52:59,3179,Audiosonic,Star Trip,Digital Om,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
